"","model","dataset","priorHyperParameter","execFolder","sgrna","gene","logRatioLeftBound","logRatioRightBound","logRatio"
"68","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",68,"ERBB3",-1.30116228963214,1.96556108642392,0.654262760623561
"69","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",69,"ERBB3",-2.95668871485124,-0.210597034805235,-1.44961718434342
"70","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",70,"ERBB4",-3.07329379020366,-0.0661764911526087,-1.45188946547824
"71","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",71,"ERBB4",-3.28012719704006,-0.154313944134177,-1.64957404205419
"72","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",72,"ERBB4",-1.30640442071367,2.02819461370859,0.727390905014611
"73","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",73,"MET",-2.242829733658,1.24426115224567,-0.382520616207639
"74","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",74,"MET",-3.67416127201609,-1.6459251138439,-2.54853124519944
"75","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",75,"MET",-3.09179434259776,-1.0911752980609,-2.00702612273953
"76","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",76,"FLT1",-0.694597445308426,2.47755607625253,1.22302307163231
"77","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",77,"FLT1",-2.87420624824677,1.17891422446847,-0.87587273389552
"78","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",78,"FLT1",-2.45932078292509,1.2706702082902,-0.328791245299945
"79","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",79,"KDR",-1.50466539043432,1.73671090477747,0.410257337056983
"80","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",80,"KDR",-2.7770046617182,0.414463491433063,-1.09595934127526
"81","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",81,"KDR",-3.66010979738767,-1.50544672811753,-2.49985928111615
"82","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",82,"PDGFRA",-3.81476245671855,-1.4813314377358,-2.57899299933539
"83","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",83,"PDGFRA",-3.51485963965076,-1.11687010998309,-2.23630455835645
"84","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",84,"PDGFRA",-2.27126999300868,1.24391280809368,-0.394787508307236
